Order,Family,Species,English_name,Subspecies,M_mass,M_mass_N,F_mass,F_mass_N,unsexed_mass,unsexed_mass_N,M_wing,M_wing_N,F_wing,F_wing_N,Unsexed_wing,Unsexed_wing_N,M_tarsus,M_tarsus_N,F_tarsus,F_tarsus_N,Unsexed_tarsus,Unsexed_tarsus_N,M_bill,M_bill_N,F_bill,F_bill_N,Unsexed_bill,Unsexed_bill_N,M_tail,M_tail_N,F_tail,F_tail_N,Unsexed_tail,Unsexed_tail_N,Clutch_size,Egg_mass,Mating_System,Display,Resource,References
Struthioniformes,Struthionidae,Struthio camelus,Ostrich,,115000,,100000,,,,,,,,900,,,,,,450,,,,,,135,,,,,,,,,1500,4,,,"1, 23, 31"
Casuariiformes,Dromaiidae,Dromaius novaehollandiae,Emu,,32700,,38300,,,,200,10,203,10,,,426,11,441,11,,,59.1,11,61.9,11,,,,,,,,,8.98,581.2,1,1,,17
Apterygiformes,Apterygidae,Apteryx australis,Brown Kiwi,,2208,11,2535,26,,,,,,,,,69.9,11,73.3,15,,,98.2,11,129.9,15,,,,,,,,,2,443,2,,,"1, 17, 31"
Apterygiformes,Apterygidae,Apteryx owenii,Little Spotted Kiwi,,1135,51,1351,41,,,,,,,,,74.1,56,79.7,46,,,72,27,87.1,17,,,,,,,,,1,285,2,,,"17, 31"
Apterygiformes,Apterygidae,Apteryx haastii,Great Spotted Kiwi,,2610,12,3270,7,,,,,,,,,84.9,7,88.4,13,,,96,7,125.8,13,,,,,,,,,1,425,2,,,"17, 31"
Tinamiformes,Tinamidae,Tinamus major,Great Tinamou,,1059,,991,,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1,,,"1, 31"
Tinamiformes,Tinamidae,Crypturellus soui,Little Tinamou,,198,6,235,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,"28, 31"
Tinamiformes,Tinamidae,Crypturellus boucardi,Slaty-breasted Tinamou,,418,22,468,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
Tinamiformes,Tinamidae,Nothoprocta cinerascens,Brushland Tinamou,,475,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,,,"1, 31"
Galliformes,Cracidae,Ortalis vetula,Plain Chachalaca,,584,106,542,102,521.5,,210,106,200,102,,,59.3,106,56.6,102,,,23.3,106,21.7,102,,,233.8,15,223.1,13,,,2.88,55,2,,,"1, 7, 31"
Galliformes,Cracidae,Ortalis motmot,Little Chachalaca,,423,,385,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,63,2,,,"1, 31"
Galliformes,Cracidae,Penelopina nigra,Highland Guan,,,,,,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1
