Continent	Extant	Order	Family	Genus	Species	Age	Weight (g)
AF	extant	Artiodactyla	Bovidae	Addax	nasomaculatus	4.85	70000.3
AF	extant	Artiodactyla	Bovidae	Aepyceros	melampus	4.72	52500.1
AF	extant	Artiodactyla	Bovidae	Alcelaphus	buselaphus	5.23	171001.5
AF	extant	Artiodactyla	Bovidae	Ammodorcas	clarkei	4.45	28049.8
AF	extant	Artiodactyla	Bovidae	Ammotragus	lervia	4.68	48000
AF	extant	Artiodactyla	Bovidae	Antidorcas	marsupialis	4.59	39049.9
AF	extinct	Artiodactyla	Bovidae	Antidorcas	bondi	4.53	34000
AF	extinct	Artiodactyla	Bovidae	Antidorcas	australis	4.6	40000
AF	extant	Artiodactyla	Bovidae	Bos	taurus	5.95	900000
AF	extant	Artiodactyla	Bovidae	Capra	walie	5	100000
AF	extant	Artiodactyla	Bovidae	Capra	ibex	5	100999.7
AF	extant	Artiodactyla	Bovidae	Capra	nubiana	4.9	78999.7
AF	extant	Artiodactyla	Bovidae	Cephalophus	weynsi		
AF	extant	Artiodactyla	Bovidae	Cephalophus	dorsalis	4.3	20000
AF	extant	Artiodactyla	Bovidae	Cephalophus	leucogaster	4.1	12699.9
AF	extant	Artiodactyla	Bovidae	Cephalophus	monticola	3.8	6250
AF	extant	Artiodactyla	Bovidae	Cephalophus	natalensis	4.08	12000
AF	extant	Artiodactyla	Bovidae	Cephalophus	niger	4.31	20400
AF	extant	Artiodactyla	Bovidae	Cephalophus	nigrifrons	4.14	13899.8
AF	extant	Artiodactyla	Bovidae	Cephalophus	rubidus	4.18	15000
AF	extant	Artiodactyla	Bovidae	Cephalophus	silvicultor	4.86	72500.3
AF	extant	Artiodactyla	Bovidae	Cephalophus	jentinki	4.85	70000.3
AF	extant	Artiodactyla	Bovidae	Cephalophus	zebra	4.24	17500.1
AF	extant	Artiodactyla	Bovidae	Cephalophus	adersi	3.97	9250
AF	extant	Artiodactyla	Bovidae	Cephalophus	callipygus	4.26	18249.9
AF	extant	Artiodactyla	Bovidae	Cephalophus	harveyi	4.16	14500.1
AF	extant	Artiodactyla	Bovidae	Cephalophus	maxwellii	4.08	12000
AF	extant	Artiodactyla	Bovidae	Cephalophus	ogilbyi	4.3	20000
AF	extant	Artiodactyla	Bovidae	Cephalophus	rufilatus	4.08	12000
AF	extant	Artiodactyla	Bovidae	Cephalophus	spadix	4.75	56000.3
AF	extant	Artiodactyla	Bovidae	Connochaetes	gnou	5.26	179999
AF	extant	Artiodactyla	Bovidae	Connochaetes	taurinus	5.26	179999
AF	extant	Artiodactyla	Bovidae	Damaliscus	pygargus	5.01	102000
AF	extant	Artiodactyla	Bovidae	Damaliscus	hunteri	4.9	80000
AF	extant	Artiodactyla	Bovidae	Damaliscus	lunatus	5.13	136000.3
AF	extant	Artiodactyla	Bovidae	Dorcatragus	megalotis	4.01	10249.9
AF	extant	Artiodactyla	Bovidae	Gazella	cuvieri	4.4	25000
AF	extant	Artiodactyla	Bovidae	Gazella	dama	4.86	72999.5
AF	extant	Artiodactyla	Bovidae	Gazella	rufifrons	4.43	26999.8
AF	extant	Artiodactyla	Bovidae	Gazella	dorcas	4.36	23000.1
AF	extant	Artiodactyla	Bovidae	Gazella	dorcas	4.36	23000.1
AF	extant	Artiodactyla	Bovidae	Gazella	gazella	4.35	22499.9
AF	extant	Artiodactyla	Bovidae	Gazella	spekei	4.3	20000
AF	extant	Artiodactyla	Bovidae	Gazella	leptoceros	4.35	22200
AF	extant	Artiodactyla	Bovidae	Gazella	granti	4.74	54999.7
AF	extant	Artiodactyla	Bovidae	Gazella	soemmerringii	4.6	40000
AF	extant	Artiodactyla	Bovidae	Gazella	thomsonii	4.31	20499.8
AF	extinct	Artiodactyla	Bovidae	Gazella	atlantica	4.65	44500
AF	historical	Artiodactyla	Bovidae	Gazella	rufina	4.6	40000
AF	extant	Artiodactyla	Bovidae	Hippotragus	equinus	5.43	269997.7
AF	extant	Artiodactyla	Bovidae	Hippotragus	niger	5.36	227499.3
AF	historical	Artiodactyla	Bovidae	Hippotragus	leucophaeus	5.18	150000
AF	extant	Artiodactyla	Bovidae	Kobus	leche	5.04	110749
AF	extant	Artiodactyla	Bovidae	Kobus	megaceros	4.94	87500.4
AF	extant	Artiodactyla	Bovidae	Kobus	ellipsiprymnus	5.32	210000.3
AF	extant	Artiodactyla	Bovidae	Kobus	kob	4.89	78500.1
AF	extant	Artiodactyla	Bovidae	Kobus	vardonii	4.85	71500.7
AF	extant	Artiodactyla	Bovidae	Litocranius	walleri	4.58	37999.7
AF	extant	Artiodactyla	Bovidae	Madoqua	saltiana	3.51	3250
AF	extant	Artiodactyla	Bovidae	Madoqua	piacentinii	3.4	2500
AF	extant	Artiodactyla	Bovidae	Madoqua	guentheri	3.88	7500
AF	extant	Artiodactyla	Bovidae	Madoqua	kirkii	3.72	5300.1
AF	extinct	Artiodactyla	Bovidae	Megalotragus	priscus	5.3	200000
AF	extant	Artiodactyla	Bovidae	Neotragus	batesi	3.48	3000
AF	extant	Artiodactyla	Bovidae	Neotragus	pygmaeus	3.6	4000
AF	extant	Artiodactyla	Bovidae	Neotragus	moschatus	3.81	6499.9
AF	extant	Artiodactyla	Bovidae	Oreotragus	oreotragus	4.11	12999.9
AF	extant	Artiodactyla	Bovidae	Oryx	dammah	5.3	200000
AF	extant	Artiodactyla	Bovidae	Oryx	gazella	5.23	169001.3
AF	extant	Artiodactyla	Bovidae	Ourebia	ourebi	4.24	17250
AF	extant	Artiodactyla	Bovidae	Pelea	capreolus	4.3	20000
AF	extinct	Artiodactyla	Bovidae	Pelorovis	antiquus	6	1000000
AF	extant	Artiodactyla	Bovidae	Raphicerus	melanotis	4.01	10249.9
AF	extant	Artiodactyla	Bovidae	Raphicerus	campestris	4.02	10500
AF	extant	Artiodactyla	Bovidae	Raphicerus	sharpei	3.98	9499.9
AF	extant	Artiodactyla	Bovidae	Redunca	arundinum	4.76	58000.3
AF	extant	Artiodactyla	Bovidae	Redunca	fulvorufula	4.47	29499.9
AF	extant	Artiodactyla	Bovidae	Redunca	redunca	4.64	44050.4
AF	extant	Artiodactyla	Bovidae	Sigmoceros	lichtensteinii	5.23	171498.4
AF	extant	Artiodactyla	Bovidae	Sylvicapra	grimmia	4.29	19499.8
AF	extant	Artiodactyla	Bovidae	Syncerus	caffer	5.76	580002.7
AF	extant	Artiodactyla	Bovidae	Taurotragus	derbianus	5.83	680000
AF	extant	Artiodactyla	Bovidae	Taurotragus	oryx	5.76	569993.6
AF	extant	Artiodactyla	Bovidae	Tragelaphus	angasii	4.94	86600.4
AF	extant	Artiodactyla	Bovidae	Tragelaphus	eurycerus	5.52	329003.1
AF	extant	Artiodactyla	Bovidae	Tragelaphus	buxtoni	5.33	215000.8
AF	extant	Artiodactyla	Bovidae	Tragelaphus	imberbis	4.91	81575.5
AF	extant	Artiodactyla	Bovidae	Tragelaphus	scriptus	4.64	43250.4
AF	extant	Artiodactyla	Bovidae	Tragelaphus	spekii	4.89	77999.2
AF	extant	Artiodactyla	Bovidae	Tragelaphus	strepsiceros	5.33	213501
AF	extinct	Artiodactyla	Camelidae	Camelus	thomasi	5.7	500000
AF	extant	Artiodactyla	Cervidae	Cervus	elaphus	5.19	156250
AF	extinct	Artiodactyla	Cervidae	Megaloceros	algericus	5.9	800000
AF	extant	Artiodactyla	Giraffidae	Giraffa	camelopardalis	5.95	899994.8
AF	extinct	Artiodactyla	Giraffidae	Giraffa	gracilis	5.93	850000
AF	extant	Artiodactyla	Giraffidae	Okapia	johnstoni	5.36	230001.1
AF	extant	Artiodactyla	Hippopotamidae	Hexaprotodon	liberiensis	5.37	235001.2
AF	extant	Artiodactyla	Hippopotamidae	Hippopotamus	amphibius	6.15	1417490
AF	extant	Artiodactyla	Suidae	Hylochoerus	meinertzhageni	5.28	188500
AF	extinct	Artiodactyla	Suidae	Metridiochoerus	compactus	5.15	142000
AF	extant	Artiodactyla	Suidae	Phacochoerus	africanus	4.92	82500
AF	extant	Artiodactyla	Suidae	Phacochoerus	aethiopicus	4.85	71000.3
AF	extant	Artiodactyla	Suidae	Potamochoerus	larvatus	4.99	97500
AF	extant	Artiodactyla	Suidae	Potamochoerus	porcus	4.85	70000.3
AF	extant	Artiodactyla	Tragulidae	Hyemoschus	aquaticus	4.04	10850
AF	extant	Carnivora	Canidae	Canis	simensis	4	10000
AF	extant	Carnivora	Canidae	Canis	adustus	4.01	10249.9
AF	extant	Carnivora	Canidae	Canis	aureus	4.04	10999.9
AF	extant	Carnivora	Canidae	Canis	mesomelas	3.93	8500
AF	extant	Carnivora	Canidae	Lycaon	pictus	4.34	22050.1
AF	extant	Carnivora	Canidae	Otocyon	megalotis	3.62	4150
AF	extant	Carnivora	Canidae	Vulpes	chama	3.47	2955
AF	extant	Carnivora	Canidae	Vulpes	pallida	3.45	2800
AF	extant	Carnivora	Canidae	Vulpes	rueppelli	3.51	3250
AF	extant	Carnivora	Canidae	Vulpes	vulpes	3.78	6000
AF	extant	Carnivora	Canidae	Vulpes	zerda	3.04	1100
AF	extant	Carnivora	Felidae	Acinonyx	jubatus	4.7	50000
AF	extant	Carnivora	Felidae	Caracal	caracal	4.14	13749.9
AF	extant	Carnivora	Felidae	Felis	nigripes	3.11	1300
AF	extant	Carnivora	Felidae	Felis	chaus	3.83	6749.9
AF	extant	Carnivora	Felidae	Felis	margarita	3.4	2525
AF	extant	Carnivora	Felidae	Felis	silvestris	3.67	4650
AF	extant	Carnivora	Felidae	Leptailurus	serval	4.08	12000
AF	extant	Carnivora	Felidae	Panthera	leo	5.21	161499.1
AF	extant	Carnivora	Felidae	Panthera	pardus	4.74	54999.7
AF	extant	Carnivora	Felidae	Profelis	aurata	4.03	10650
AF	extant	Carnivora	Herpestidae	Atilax	paludinosus	3.52	3300
AF	extant	Carnivora	Herpestidae	Bdeogale	jacksoni	3.4	2500
AF	extant	Carnivora	Herpestidae	Bdeogale	crassicauda	3.19	1550
AF	extant	Carnivora	Herpestidae	Bdeogale	nigripes	3.4	2500
AF	extant	Carnivora	Herpestidae	Crossarchus	obscurus	3.1	1250
AF	extant	Carnivora	Herpestidae	Crossarchus	alexandri	3.18	1500
AF	extant	Carnivora	Herpestidae	Crossarchus	ansorgei	2.85	700
AF	extant	Carnivora	Herpestidae	Cynictis	penicillata	2.92	836
AF	extant	Carnivora	Herpestidae	Dologale	dybowskii	2.54	350
AF	extant	Carnivora	Herpestidae	Galerella	pulverulenta	2.9	797
AF	extant	Carnivora	Herpestidae	Galerella	flavescens	2.88	750
AF	extant	Carnivora	Herpestidae	Galerella	swalius	2.88	750
AF	extant	Carnivora	Herpestidae	Galerella	sanguinea	2.74	550
AF	extant	Carnivora	Herpestidae	Helogale	hirtula	2.46	289
AF	extant	Carnivora	Herpestidae	Helogale	parvula	2.48	300
AF	extant	Carnivora	Herpestidae	Herpestes	naso	3.48	3000
AF	extant	Carnivora	Herpestidae	Herpestes	ichneumon	3.45	2850
AF	extant	Carnivora	Herpestidae	Ichneumia	albicauda	3.54	3500
AF	extant	Carnivora	Herpestidae	Liberiictis	kuhni	3.33	2150
AF	extant	Carnivora	Herpestidae	Mungos	gambianus	3.18	1500
