Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References
Afrosoricida	Tenrecidae	Echinops	telfairi	Lesser hedgehog tenrec	365	365	55	29	6	1		7.67	50	180	0.0301	19	671	captivity	medium	acceptable			0.75	116.4	307.85	"3,614,843,445,554,260,000,000,000,000,000,000,000"
Afrosoricida	Tenrecidae	Geogale	aurita	Large-eared tenrec			63	37	3.9	2		0.7		6.7				unknown	small	low			0.043	6.9	303.95	"36,420,434,613,678"
Afrosoricida	Tenrecidae	Hemicentetes	semispinosus	Streaked tenrec	35		59	21	4	2		11.5		180		2.7	671	captivity	small	questionable			0.38	116.4	308.15	"36,420,434,436,455,500,000,000,000,000"
Afrosoricida	Tenrecidae	Microgale	dobsoni	Dobson's shrew tenrec	669	669	61	29	2.67			3.95		37.8	0.0266	5.6	434	captivity	small	acceptable			0.315	44.6	304.05	"36,420,434,455,610,600,000"
Afrosoricida	Tenrecidae	Microgale	talazaci	Talazac's shrew tenrec	639	639	61	29	2			3.6		50	0.0298	5.8	434	captivity	small	acceptable			0.243	44	303.95	"36,420,434,455,731"
Afrosoricida	Tenrecidae	Setifer	setosus	Greater hedgehog tenrec	198	258	54	24	3	1		24.7		225	0.0419	14.1	671	captivity	medium	acceptable			0.573	427.6	305.35	"364,204,344,556,106,000,000,000,000,000"
Afrosoricida	Tenrecidae	Tenrec	ecaudatus	"Tailess tenrec, or Tenrec"	182		58	27	18	1.5		21	225	900	0.0445	8.7	671	captivity	small	acceptable			0.729	650	306.15	"36,420,434,436,455,500,000,000,000,000,000"
Artiodactyla	Antilocapridae	Antilocapra	americana	Pronghorn	547	547	235	91	2	1	365	3000	8900	46100	0.0083	17	1306	captivity	medium	acceptable			50.973	34779.3	311.15	"36,420,434,441,455,500,000,000,000,000,000,000,000,000,000,000,000"
Artiodactyla	Bovidae	Addax	nasomaculatus	Addax	1065		282	198	1	1	355	5600		92500		28	671	captivity	large	high						"434,455,538,610,671,000"
Artiodactyla	Bovidae	Aepyceros	melampus	Impala	456	395	198	167	1	1	365	5550	15900	52500	0.0043	25.6	671	captivity	large	high						"4,344,556,106,716,760,000,000,000,000"
Artiodactyla	Bovidae	Alcelaphus	buselaphus	Hartebeest	730		247	193	1	1	365	9050		159000		22.5	671	captivity	medium	acceptable						"455,671"
Artiodactyla	Bovidae	Ammodorcas	clarkei	Dibatag			204		1					30500				unknown	small	low						"434,453,455"
Artiodactyla	Bovidae	Ammotragus	lervia	Aoudad	335		149	122	1.2	2	229	4500		92500	0.0053	21.7	671	captivity	large	acceptable						"434,455,610,671,677,000,000"
Artiodactyla	Bovidae	Antidorcas	marsupialis	Springbok	213	400	168	121	1	1	365	4160		39000	0.0137	19.8	671	captivity	large	high					312.55	"4,344,484,555,426,710,000,000"
Artiodactyla	Bovidae	Antilope	cervicapra	Blackbuck	466		168	60	1	1.9	231	3850		37500		23.9	671	captivity	large	high						"434,455,610,671,951"
Artiodactyla	Bovidae	Beatragus	hunteri	Hirola	652	1278	283		1			8350		159000				unknown	small	low						"4,556,106,711,308"
Artiodactyla	Bovidae	Bison	bison	American bison	912	912	274	259	1	1	452	20000	158000	630000		33.5	671	captivity	large	high					311.85	"80,82,434,441,455,542,610,671,680,951,1058,1142,1143"
Artiodactyla	Bovidae	Bison	bonasus	European bison	730	730	270	213	1	1	641	23375		610000		26.4	671	captivity	medium	acceptable					311.5	"4,344,555,426,106,710,000"
Artiodactyla	Bovidae	Bos	frontalis	Gaur	590	550	275	137	1	0.9	634	23000		825000		26.2	671	captivity	medium	acceptable						"4,344,556,716,801,130"
Artiodactyla	Bovidae	Bos	grunniens	Yak	738	738	274	228	1	0.8		18000		667000		26.3	671	captivity	large	high					311.15	"10,610,743,445,554,100,000,000,000,000"
Artiodactyla	Bovidae	Bos	javanicus	Banteng	730		295	304	1	1				700000		27.1	671	captivity	medium	acceptable					311.95	"43,445,567,168,010,400,000"
Artiodactyla	Bovidae	Bos	sauveli	Kouprey	755		260		1					800000				unknown	small	low						"4,341,308"
Artiodactyla	Bovidae	Bos	taurus	Domestic cattle	548	365	277		1	1				750000	0.0031	20	434	captivity	large	questionable			306.77	347000	311.15	"3,618,943,443,671,570,000,000,000,000,000,000,000,000"
Artiodactyla	Bovidae	Boselaphus	tragocamelus	Nilgai	815		255		1.5	1	365	5875		180000		21.7	671	captivity	large	high						"455,671,951"
Artiodactyla	Bovidae	Bubalus	bubalis	Water buffalo	502		311		1.375	1	365	37500		725000		34.9	671	captivity	medium	acceptable					311.25	"81,82,434,455,610,671,1013,1389"
Artiodactyla	Bovidae	Bubalus	depressicornis	Anoa	730	730	300		1	1				155000		36.1	671	captivity	medium	acceptable						"434,448,455,610,671,000"
Artiodactyla	Bovidae	Bubalus	mindorensis	Tamaraw	755		300		1	0.5	1095			240000				unknown	small	low						"4,555,426,106,879,780,000"
Artiodactyla	Bovidae	Bubalus	quarlesi	Mountain anoa	755		295		1	1				150000		29.2	671	captivity	tiny	acceptable						"6,717,309,781,308"
Artiodactyla	Bovidae	Budorcas	taxicolor	Takin	730	730	210		1	1	365	6000		180000		21.9	671	captivity	medium	acceptable						"434,448,455,671"
Artiodactyla	Bovidae	Capra	caucasica	West Caucasian tur	890	1085	157		1			3850		70000		19.3	671	captivity	medium	acceptable						"4,344,556,106,711,300"
Artiodactyla	Bovidae	Capra	cylindricornis	East Caucasian tur	1019	914	161	182	1.2	1		3787.5		50000		20.2	671	captivity	small	acceptable						"434,455,610,671"
